"","종목코드","종목명","종가","대비","등락률","EPS","PER","선행 EPS","선행 PER","BPS","PBR","주당배당금","배당수익률"
"29","065770","CS",1600,-38,-2.32,NA,NA,NA,NA,1099,1.46,0,0
"30","083660","CSA 코스믹",824,10,1.23,NA,NA,NA,NA,390,2.11,0,0
"31","000590","CS홀딩스",63600,-1100,-1.7,12789,4.97,NA,NA,226165,0.28,500,0.79
"32","012030","DB",1441,31,2.2,114,12.64,NA,NA,2292,0.63,0,0
"33","404950","DB금융스팩10호",2050,-5,-0.24,NA,NA,NA,NA,NA,NA,0,0
"34","367340","DB금융스팩8호",2055,-10,-0.48,NA,NA,NA,NA,NA,NA,0,0
"35","367360","DB금융스팩9호",2115,0,0,NA,NA,NA,NA,NA,NA,0,0
"36","016610","DB금융투자",4130,5,0.12,2831,1.46,NA,NA,22133,0.19,500,12.11
"37","005830","DB손해보험",73600,-800,-1.08,14482,5.08,14416,5.11,110605,0.67,3500,4.76
"38","000990","DB하이텍",53000,7800,17.26,7292,7.27,7868,6.74,25449,2.08,450,0.85
"39","000995","DB하이텍1우",114000,22200,24.18,NA,NA,NA,NA,NA,NA,500,0.44
"40","139130","DGB금융지주",7780,-40,-0.51,2886,2.7,2880,2.7,32507,0.24,630,8.1
"41","025440","DH오토웨어",627,-10,-1.57,NA,NA,NA,NA,345,1.82,0,0
"42","001530","DI동일",20800,-400,-1.89,2200,9.45,NA,NA,28838,0.72,200,0.96
"43","000210","DL",56000,-600,-1.06,41881,1.34,27416,2.04,173922,0.32,1900,3.39
"44","001880","DL건설",14740,-100,-0.67,7911,1.86,4075,3.62,41105,0.36,750,5.09
"45","000215","DL우",31900,-800,-2.45,NA,NA,NA,NA,NA,NA,1950,6.11
"46","375500","DL이앤씨",32700,-350,-1.06,26903,1.22,8480,3.86,194338,0.17,2700,8.26
"47","37550L","DL이앤씨2우(전환)",23500,-100,-0.42,NA,NA,NA,NA,NA,NA,0,0
"48","37550K","DL이앤씨우",20950,-150,-0.71,NA,NA,NA,NA,NA,NA,2750,13.13
"49","068790","DMS",6730,-120,-1.75,1354,4.97,NA,NA,10824,0.62,100,1.49
"50","007340","DN오토모티브",74600,400,0.54,9379,7.95,NA,NA,82507,0.9,2000,2.68
"51","004840","DRB동일",4690,-10,-0.21,NA,NA,NA,NA,18916,0.25,30,0.64
"52","241520","DSC인베스트먼트",4260,-165,-3.73,582,7.32,NA,NA,2762,1.54,0,0
"53","155660","DSR",5910,-10,-0.17,768,7.7,NA,NA,10991,0.54,50,0.85
"54","069730","DSR제강",5980,-100,-1.64,529,11.3,NA,NA,10683,0.56,40,0.67
"55","180400","DXVX",7740,0,0,NA,NA,NA,NA,1235,6.27,0,0
"56","017940","E1",48700,-50,-0.1,22789,2.14,NA,NA,226210,0.22,2200,4.52
"57","245620","EDGC",1633,-52,-3.09,NA,NA,NA,NA,712,2.29,0,0
"58","037370","EG",9770,-370,-3.65,622,15.71,NA,NA,7528,1.3,0,0
"59","050120","ES큐브",4280,-155,-3.49,670,6.39,NA,NA,6347,0.67,0,0
"60","383220","F&F",142000,2000,1.43,6061,23.43,13735,10.34,14307,9.93,1100,0.77
"61","007700","F&F홀딩스",25750,400,1.58,88031,0.29,NA,NA,49495,0.52,170,0.66
"62","214270","FSN",4480,-195,-4.17,4,1120,NA,NA,3885,1.15,0,0
"63","130500","GH신소재",3840,-60,-1.54,201,19.1,NA,NA,4636,0.83,0,0
"64","114090","GKL",19200,-140,-0.72,NA,NA,1350,14.22,6201,3.1,0,0
"65","078930","GS",40350,-400,-0.98,15304,2.64,13944,2.89,108672,0.37,2000,4.96
"66","083450","GST",22300,-850,-3.67,4292,5.2,NA,NA,16558,1.35,300,1.35
"67","006360","GS건설",22250,-350,-1.55,4834,4.6,4953,4.49,54487,0.41,1300,5.84
"68","001250","GS글로벌",2540,-5,-0.2,283,8.98,NA,NA,4013,0.63,0,0
"69","007070","GS리테일",28700,-50,-0.17,9096,3.16,2221,12.92,39822,0.72,1200,4.18
"70","078935","GS우",34850,-200,-0.57,NA,NA,NA,NA,NA,NA,2050,5.88
"71","297890","HB솔루션",13880,330,2.44,509,27.27,1373,10.11,6224,2.23,0,0
"72","078150","HB테크놀러지",1969,-13,-0.66,151,13.04,NA,NA,2364,0.83,20,1.02
"73","012630","HDC",6680,-60,-0.89,2069,3.23,NA,NA,43552,0.15,250,3.74
"74","039570","HDC랩스",8130,-120,-1.45,593,13.71,NA,NA,11102,0.73,450,5.54
"75","089470","HDC현대EP",4330,65,1.52,356,12.16,NA,NA,10379,0.42,140,3.23
"76","294870","HDC현대산업개발",11080,-110,-0.98,2679,4.14,NA,NA,43665,0.25,600,5.42
"77","267250","HD현대",57700,-1000,-1.7,NA,NA,16167,3.57,89404,0.65,5550,9.62
"78","097230","HJ중공업",3830,-60,-1.54,NA,NA,NA,NA,5189,0.74,0,0
"79","195940","HK이노엔",38600,650,1.71,984,39.23,1844,20.93,39819,0.97,320,0.83
"80","014790","HL D&I",2605,-85,-3.16,1122,2.32,805,3.24,8822,0.3,100,3.84
"81","028300","HLB",32250,-2000,-5.84,NA,NA,NA,NA,3850,8.38,0,0
"82","003580","HLB글로벌",5990,-330,-5.22,NA,NA,NA,NA,2559,2.34,0,0
"83","067630","HLB생명과학",10590,-550,-4.94,NA,NA,NA,NA,2458,4.31,0,0
"84","047920","HLB제약",13680,280,2.09,NA,NA,NA,NA,3004,4.55,0,0
"85","115450","HLB테라퓨틱스",11870,-120,-1,NA,NA,NA,NA,3705,3.2,0,0
"86","204320","HL만도",48250,50,0.1,3567,13.53,5333,9.05,41672,1.16,800,1.66
"87","060980","HL홀딩스",32650,-300,-0.91,10531,3.1,6016,5.43,102145,0.32,2000,6.13
"88","011200","HMM",21100,-400,-1.86,13506,1.56,4120,5.12,21179,1,600,2.84
"89","403870","HPSP",66200,-900,-1.34,2130,31.08,4185,15.82,3157,20.97,0,0
"90","036640","HRS",5480,-110,-1.97,1303,4.21,NA,NA,6224,0.88,200,3.65
"91","082740","HSD엔진",7310,-240,-3.18,NA,NA,651,11.22,3511,2.08,0,0
"92","405350","IBKS제17호스팩",2375,0,0,NA,NA,NA,NA,NA,NA,0,0
"93","424760","IBKS제18호스팩",3110,-125,-3.86,NA,NA,NA,NA,NA,NA,0,0
"94","426550","IBKS제19호스팩",2200,0,0,NA,NA,NA,NA,NA,NA,0,0
"95","439730","IBKS제20호스팩",2175,0,0,NA,NA,NA,NA,NA,NA,0,0
"96","442770","IBKS제21호스팩",2165,-20,-0.92,NA,NA,NA,NA,NA,NA,0,0
"97","003560","IHQ",268,-22,-7.59,NA,NA,NA,NA,800,0.34,0,0
"98","095340","ISC",33000,-350,-1.05,2202,14.99,3361,9.82,14083,2.34,200,0.61
"99","099520","ITX-AI",2570,0,0,NA,NA,NA,NA,622,4.13,0,0
"100","175330","JB금융지주",9270,-110,-1.17,2510,3.69,3180,2.92,21392,0.43,599,6.46
"101","234080","JW생명과학",12270,0,0,829,14.8,NA,NA,8492,1.44,500,4.07
"102","067290","JW신약",3220,-50,-1.53,18,178.89,NA,NA,1149,2.8,0,0
"103","001060","JW중외제약",21200,-350,-1.62,NA,NA,2013,10.53,8650,2.45,325,1.53
"104","001067","JW중외제약2우B",58700,0,0,NA,NA,NA,NA,NA,NA,325,0.55
"105","001065","JW중외제약우",32650,-250,-0.76,NA,NA,NA,NA,NA,NA,350,1.07
"106","096760","JW홀딩스",3200,10,0.31,NA,NA,NA,NA,1356,2.36,90,2.81
"107","035900","JYP Ent.",80000,2100,2.7,2038,39.25,2765,28.94,7451,10.74,369,0.46
"108","318000","KBG",9380,-270,-2.8,494,18.99,NA,NA,3904,2.4,100,1.07
"109","024840","KBI메탈",1537,40,2.67,NA,NA,NA,NA,2939,0.52,0,0
"110","105560","KB금융",50600,-200,-0.39,11134,4.54,12021,4.21,121808,0.42,2940,5.81
"111","024120","KB오토시스",4350,-40,-0.91,NA,NA,NA,NA,8880,0.49,120,2.76
"112","002380","KCC",237500,-12500,-5,NA,NA,33351,7.12,657509,0.36,7000,2.95
"113","021320","KCC건설",6190,-30,-0.48,2363,2.62,NA,NA,22186,0.28,180,2.91
"114","344820","KCC글라스",39900,-550,-1.36,7353,5.43,NA,NA,87084,0.46,2400,6.02
"115","036670","KCI",9400,50,0.53,944,9.96,NA,NA,7674,1.22,200,2.13
"116","009070","KCTC",4420,-120,-2.64,681,6.49,NA,NA,7431,0.59,60,1.36
"117","009440","KC그린홀딩스",3320,-100,-2.92,122,27.21,NA,NA,7257,0.46,70,2.11
"118","119650","KC코트렐",2260,225,11.06,623,3.63,NA,NA,2283,0.99,0,0
"119","044180","KD",736,-1,-0.14,NA,NA,NA,NA,1578,0.47,0,0
"120","092220","KEC",2680,-120,-4.29,80,33.5,NA,NA,1884,1.42,0,0
"121","151860","KG ETS",16620,-300,-1.77,1389,11.97,NA,NA,8862,1.88,120,0.72
"122","046440","KG모빌리언스",6840,10,0.15,785,8.71,1063,6.43,7727,0.89,220,3.22
"123","016380","KG스틸",9060,-270,-2.89,1908,4.75,NA,NA,11498,0.79,100,1.1
"124","035600","KG이니시스",13170,-150,-1.13,1808,7.28,2428,5.42,13469,0.98,400,3.04
"125","001390","KG케미칼",33900,600,1.8,5749,5.9,NA,NA,34343,0.99,500,1.47
"126","226360","KH 건설",358,-14,-3.76,NA,NA,NA,NA,1363,0.26,0,0
"127","111870","KH 전자",211,-13,-5.8,NA,NA,NA,NA,972,0.22,0,0
"128","033180","KH 필룩스",488,-12,-2.4,NA,NA,NA,NA,3088,0.16,0,0
"129","060720","KH바텍",15680,-270,-1.69,1473,10.64,1711,9.17,9612,1.63,300,1.91
"130","001940","KISCO홀딩스",21250,-50,-0.23,8106,2.62,NA,NA,68463,0.31,400,1.88
"131","058400","KNN",937,0,0,69,13.58,NA,NA,1552,0.6,20,2.13
"132","114450","KPX생명과학",4460,-50,-1.11,NA,NA,NA,NA,3753,1.19,0,0
"133","025000","KPX케미칼",49150,-50,-0.1,10123,4.86,NA,NA,119120,0.41,2750,5.6
"134","092230","KPX홀딩스",54400,-900,-1.63,11573,4.7,NA,NA,208904,0.26,3000,5.51
"135","000040","KR모터스",504,1,0.2,NA,NA,NA,NA,385,1.31,0,0
"136","044450","KSS해운",8850,-150,-1.67,2497,3.54,NA,NA,15261,0.58,350,3.95
"137","030200","KT",30200,-600,-1.95,5759,5.24,5196,5.81,63512,0.48,1910,6.32
"138","033780","KT&G",86000,-1000,-1.15,7898,10.89,7518,11.44,76336,1.13,4800,5.58
"139","058850","KTcs",4805,-165,-3.32,454,10.58,NA,NA,4374,1.1,100,2.08
"140","058860","KTis",4105,-175,-4.09,767,5.35,NA,NA,5909,0.69,100,2.44
"141","060370","KT서브마린",5910,-130,-2.15,NA,NA,NA,NA,4848,1.22,30,0.51
"142","122450","KX",5530,0,0,896,6.17,NA,NA,5636,0.98,0,0
"143","052900","KX하이텍",1372,-32,-2.28,102,13.45,NA,NA,1998,0.69,0,0
"144","093050","LF",17160,10,0.06,4169,4.12,NA,NA,46904,0.37,600,3.5
"145","003550","LG",82400,300,0.37,15504,5.31,12542,6.57,132574,0.62,2800,3.4
"146","034220","LG디스플레이",15200,-20,-0.13,3315,4.59,NA,NA,36664,0.41,650,4.28
"147","051900","LG생활건강",641000,-31000,-4.61,50395,12.72,31291,20.49,321556,1.99,12000,1.87
"148","051905","LG생활건강우",277000,-6000,-2.12,NA,NA,NA,NA,NA,NA,12050,4.35
"149","373220","LG에너지솔루션",562000,-4000,-0.71,3963,141.81,7322,76.76,39831,14.11,0,0
"150","003555","LG우",61900,0,0,NA,NA,NA,NA,NA,NA,2850,4.6
"151","032640","LG유플러스",11040,-130,-1.16,1642,6.72,1733,6.37,17852,0.62,550,4.98
"152","011070","LG이노텍",273500,-5500,-1.97,37537,7.29,43238,6.33,140050,1.95,3000,1.1
"153","066570","LG전자",117500,3100,2.71,5725,20.52,10686,11,95691,1.23,850,0.72
"154","066575","LG전자우",49550,1350,2.8,NA,NA,NA,NA,NA,NA,900,1.82
"155","037560","LG헬로비전",4525,0,0,348,13,550,8.22,8424,0.54,110,2.43
"156","051910","LG화학",715000,-25000,-3.38,47108,15.18,31785,22.49,278455,2.57,12000,1.68
"157","051915","LG화학우",314500,-3000,-0.94,NA,NA,NA,NA,NA,NA,12050,3.83
"158","079550","LIG넥스원",73000,-1400,-1.88,4829,15.12,7841,9.31,35023,2.08,1200,1.64
"159","006260","LS",70200,-1000,-1.4,10004,7.02,15540,4.52,127727,0.55,1450,2.07
"160","010120","LS ELECTRIC",51100,-700,-1.35,2890,17.68,5441,9.39,50525,1.01,1000,1.96
"161","000680","LS네트웍스",2460,-45,-1.8,818,3.01,NA,NA,7533,0.33,0,0
"162","229640","LS전선아시아",7060,-60,-0.84,486,14.53,445,15.87,5107,1.38,240,3.4
"163","108320","LX세미콘",94800,200,0.21,18225,5.2,12329,7.69,49208,1.93,5400,5.7
"164","001120","LX인터내셔널",31500,-500,-1.56,9733,3.24,9902,3.18,49349,0.64,2300,7.3
"165","108670","LX하우시스",34750,-950,-2.66,1306,26.61,19,1813.04,86527,0.4,300,0.86
"166","108675","LX하우시스우",17300,50,0.29,NA,NA,NA,NA,NA,NA,350,2.02
"167","383800","LX홀딩스",8530,-20,-0.23,1839,4.64,NA,NA,18209,0.47,0,0
"168","38380K","LX홀딩스1우",10990,-60,-0.54,NA,NA,NA,NA,NA,NA,0,0
"169","086960","MDS테크",3110,155,5.25,NA,NA,NA,NA,1359,2.29,0,0
"170","023150","MH에탄올",7530,-70,-0.92,908,8.29,NA,NA,9654,0.78,350,4.65
"171","038340","MIT",1362,0,0,NA,NA,NA,NA,1162,1.17,0,0
"172","035420","NAVER",202500,-8500,-4.03,110854,1.83,7274,27.84,157641,1.28,511,0.25
"173","160550","NEW",7460,-280,-3.62,NA,NA,NA,NA,4617,1.62,0,0
"174","053290","NE능률",5190,-200,-3.71,262,19.81,NA,NA,4925,1.05,60,1.16
"175","181710","NHN",28500,-300,-1.04,3341,8.53,1826,15.61,53297,0.53,0,0
"176","104200","NHN벅스",7320,-190,-2.53,NA,NA,NA,NA,5288,1.38,0,0
"177","060250","NHN한국사이버결제",13590,-340,-2.44,784,17.33,1086,12.51,4229,3.21,0,0
"178","005940","NH투자증권",9140,-60,-0.65,3071,2.98,1434,6.37,21630,0.42,1050,11.49
"179","005945","NH투자증권우",8720,-80,-0.91,NA,NA,NA,NA,NA,NA,1100,12.61
"180","034310","NICE",13490,-50,-0.37,1548,8.71,NA,NA,20040,0.67,375,2.78
"181","030190","NICE평가정보",12310,-70,-0.57,915,13.45,NA,NA,5044,2.44,330,2.68
"182","008260","NI스틸",6080,-220,-3.49,771,7.89,NA,NA,4960,1.23,75,1.23
"183","004250","NPC",7870,-100,-1.25,624,12.61,NA,NA,7686,1.02,100,1.27
"184","004255","NPC우",3785,5,0.13,NA,NA,NA,NA,NA,NA,105,2.77
"185","010060","OCI",99600,-700,-0.7,27387,3.64,32784,3.04,128783,0.77,2000,2.01
"186","178920","PI첨단소재",35300,-450,-1.26,2179,16.2,1550,22.77,11097,3.18,1090,3.09
"187","024940","PN풍년",6950,-210,-2.93,228,30.48,NA,NA,4757,1.46,25,0.36
"188","005490","POSCO홀딩스",329000,-6000,-1.79,87330,3.77,42672,7.71,666803,0.49,17000,5.17
"189","218410","RFHIC",21750,-850,-3.76,239,91,951,22.87,10675,2.04,150,0.69
"190","327260","RF머트리얼즈",14210,-210,-1.46,NA,NA,NA,NA,4337,3.28,0,0
"191","091340","S&K폴리텍",3955,-40,-1,339,11.67,NA,NA,8546,0.46,250,6.32
"192","010950","S-Oil",81100,-2900,-3.45,11840,6.85,14484,5.6,60024,1.35,3800,4.69
"193","010955","S-Oil우",50500,-700,-1.37,NA,NA,NA,NA,NA,NA,3825,7.57
"194","419530","SAMG엔터",33450,-2950,-8.1,NA,NA,NA,NA,NA,NA,0,0
"195","019550","SBI인베스트먼트",1091,-17,-1.53,138,7.91,NA,NA,819,1.33,0,0
"196","034120","SBS",43900,-250,-0.57,7693,5.71,7151,6.14,37150,1.18,1000,2.28
"197","046140","SBS콘텐츠허브",8150,600,7.95,767,10.63,NA,NA,8636,0.94,75,0.92
"198","151910","SBW생명과학",700,-14,-1.96,NA,NA,NA,NA,217,3.23,0,0
"199","036120","SCI평가정보",4240,40,0.95,168,25.24,NA,NA,838,5.06,40,0.94
"200","099220","SDN",2150,55,2.63,NA,NA,NA,NA,1831,1.17,0,0
"201","036540","SFA반도체",4080,-115,-2.74,322,12.67,218,18.68,2436,1.67,0,0
"202","255220","SG",1258,6,0.48,NA,NA,NA,NA,1839,0.68,0,0
"203","040610","SG&G",1672,4,0.24,441,3.79,NA,NA,8743,0.19,0,0
"204","049470","SGA",881,-19,-2.11,88,10.01,NA,NA,901,0.98,0,0
"205","184230","SGA솔루션즈",1036,-16,-1.52,37,28,NA,NA,793,1.31,0,0
"206","005090","SGC에너지",31000,-100,-0.32,4270,7.26,7244,4.28,41630,0.74,1500,4.84
"207","016250","SGC이테크건설",28950,-50,-0.17,22121,1.31,NA,NA,65998,0.44,1500,5.18
"208","001380","SG글로벌",1342,-48,-3.45,NA,NA,NA,NA,2735,0.49,0,0
"209","004060","SG세계물산",534,-12,-2.2,232,2.3,NA,NA,1207,0.44,0,0
"210","001770","SHD",36650,-200,-0.54,4768,7.69,NA,NA,33420,1.1,100,0.27
"211","002360","SH에너지화학",857,-14,-1.61,6,142.83,NA,NA,835,1.03,10,1.17
"212","009160","SIMPAC",5690,-180,-3.07,1621,3.51,NA,NA,9786,0.58,200,3.51
"213","123700","SJM",4735,135,2.93,456,10.38,NA,NA,11373,0.42,150,3.17
"214","025530","SJM홀딩스",3470,20,0.58,314,11.05,NA,NA,11249,0.31,175,5.04
"215","034730","SK",177900,-3100,-1.71,37408,4.76,42461,4.19,375047,0.47,8000,4.5
"216","011790","SKC",108600,-6300,-5.48,6174,17.59,2943,36.9,55782,1.95,1100,1.01
"217","018670","SK가스",125500,1500,1.21,27773,4.52,24207,5.18,235917,0.53,5100,4.06
"218","001740","SK네트웍스",4380,-10,-0.23,451,9.71,287,15.27,10056,0.44,120,2.74
"219","001745","SK네트웍스우",50200,200,0.4,NA,NA,NA,NA,NA,NA,145,0.29
"220","006120","SK디스커버리",32800,-200,-0.61,10478,3.13,NA,NA,121961,0.27,1500,4.57
"221","006125","SK디스커버리우",29000,-200,-0.68,NA,NA,NA,NA,NA,NA,1550,5.34
"222","210980","SK디앤디",20600,0,0,5910,3.49,3978,5.18,26427,0.78,800,3.88
"223","068400","SK렌터카",7100,-70,-0.98,453,15.67,608,11.68,10651,0.67,0,0
"224","302440","SK바이오사이언스",70200,-2000,-2.77,4844,14.49,702,100.04,20932,3.35,0,0
"225","326030","SK바이오팜",62700,-3000,-4.57,828,75.72,NA,NA,5672,11.05,0,0
"226","402340","SK스퀘어",40750,-950,-2.28,2653,15.36,NA,NA,117868,0.35,0,0
"227","361610","SK아이이테크놀로지",66900,-2500,-3.6,1394,47.99,940,71.18,31084,2.15,0,0
"228","03473K","SK우",160400,-1600,-0.99,NA,NA,NA,NA,NA,NA,8050,5.02
"229","096770","SK이노베이션",170900,-5900,-3.34,3640,46.95,15451,11.06,206117,0.83,2508,1.47
"230","096775","SK이노베이션우",108300,-2900,-2.61,NA,NA,NA,NA,NA,NA,2558,2.36
"231","001510","SK증권",758,-9,-1.17,92,8.24,NA,NA,1446,0.52,15,1.98
"232","001515","SK증권우",2765,-55,-1.95,NA,NA,NA,NA,NA,NA,20,0.72
"233","285130","SK케미칼",80400,-4500,-5.3,8586,9.36,NA,NA,105002,0.77,3000,3.73
"234","28513K","SK케미칼우",37000,-1250,-3.27,NA,NA,NA,NA,NA,NA,3050,8.24
"235","017670","SK텔레콤",46700,-750,-1.58,7191,6.49,4974,9.39,53218,0.88,3295,7.06
"236","000660","SK하이닉스",86800,-2100,-2.36,13989,6.2,NA,NA,90394,0.96,1540,1.77
"237","048550","SM C&C",4725,-225,-4.55,NA,NA,NA,NA,1049,4.5,0,0
"238","063440","SM Life Design",2805,-60,-2.09,40,70.13,NA,NA,1068,2.63,0,0
"239","064960","SNT모티브",49550,500,1.02,5787,8.56,6794,7.29,61655,0.8,1600,3.23
"240","100840","SNT에너지",19400,-100,-0.51,1957,9.91,NA,NA,37171,0.52,800,4.12
"241","003570","SNT중공업",9640,-120,-1.23,2666,3.62,NA,NA,29158,0.33,400,4.15
"242","036530","SNT홀딩스",16450,140,0.86,5329,3.09,NA,NA,65710,0.25,700,4.26
"243","005610","SPC삼립",69300,-1000,-1.42,4990,13.89,7595,9.12,41335,1.68,1500,2.16
"244","011810","STX",5520,-290,-4.99,NA,NA,NA,NA,2337,2.36,0,0
"245","077970","STX엔진",13440,-280,-2.04,2,6720,NA,NA,10271,1.31,0,0
"246","071970","STX중공업",5560,-500,-8.25,NA,NA,NA,NA,5428,1.02,0,0
"247","002820","SUN&L",3190,40,1.27,NA,NA,NA,NA,14375,0.22,80,2.51
"248","289080","SV인베스트먼트",2350,-75,-3.09,201,11.69,NA,NA,1297,1.81,60,2.55
"249","084870","TBH글로벌",1871,7,0.38,NA,NA,NA,NA,2622,0.71,0,0
"250","002710","TCC스틸",15440,210,1.38,1242,12.43,NA,NA,6507,2.37,150,0.97
"251","089230","THE E&M",276,-5,-1.78,NA,NA,NA,NA,494,0.56,0,0
"252","161570","THE MIDONG",1180,19,1.64,NA,NA,NA,NA,1194,0.99,0,0
"253","032540","TJ미디어",6530,-160,-2.39,230,28.39,NA,NA,5781,1.13,60,0.92
"254","022220","TKG애강",1414,-19,-1.33,88,16.07,NA,NA,1740,0.81,0,0
"255","069260","TKG휴켐스",19790,-260,-1.3,1972,10.04,2411,8.21,18226,1.09,1000,5.05
"256","048770","TPC",4155,20,0.48,139,29.89,NA,NA,2590,1.6,35,0.84
"257","246690","TS인베스트먼트",1881,-56,-2.89,258,7.29,NA,NA,1593,1.18,10,0.53
"258","317240","TS트릴리온",524,-7,-1.32,NA,NA,NA,NA,167,3.14,0,0
"259","002900","TYM",2615,-75,-2.79,195,13.41,765,3.42,1714,1.53,20,0.76
"260","024070","WISCOM",2795,35,1.27,79,35.38,NA,NA,7839,0.36,50,1.79
"261","057030","YBM넷",5020,-100,-1.95,158,31.77,NA,NA,2651,1.89,100,1.99
"262","037270","YG PLUS",5680,-20,-0.35,348,16.32,NA,NA,2125,2.67,0,0
"263","040300","YTN",9390,1310,16.21,1228,7.65,NA,NA,5759,1.63,50,0.53
"264","051390","YW",3665,-50,-1.35,308,11.9,NA,NA,8638,0.42,100,2.73
"265","052220","iMBC",3990,135,3.5,48,83.13,NA,NA,2403,1.66,0,0
"266","079940","가비아",12990,-300,-2.26,898,14.47,NA,NA,7620,1.7,70,0.54
"267","078890","가온미디어",8730,10,0.11,1353,6.45,NA,NA,11534,0.76,100,1.15
"268","000500","가온전선",16580,-220,-1.31,1285,12.9,NA,NA,58877,0.28,420,2.53
"269","399720","가온칩스",27350,350,1.3,677,40.4,1001,27.32,2319,11.79,0,0
"270","036620","감성코퍼레이션",1957,-53,-2.64,4,489.25,NA,NA,373,5.25,0,0
"271","000860","강남제비스코",21400,-200,-0.93,6948,3.08,NA,NA,90881,0.24,500,2.34
"272","217730","강스템바이오텍",3190,-40,-1.24,NA,NA,NA,NA,1791,1.78,0,0
"273","035250","강원랜드",19080,-130,-0.68,NA,NA,1455,13.11,16044,1.19,0,0
"274","114190","강원에너지",14250,860,6.42,287,49.65,NA,NA,1095,13.01,0,0
"275","094480","갤럭시아머니트리",7400,-340,-4.39,NA,NA,NA,NA,2784,2.66,45,0.61
"276","011420","갤럭시아에스엠",2780,-45,-1.59,134,20.75,NA,NA,1200,2.32,0,0
"277","039240","경남스틸",3165,-70,-2.16,245,12.92,NA,NA,3708,0.85,100,3.16
"278","053950","경남제약",1876,-23,-1.21,NA,NA,NA,NA,3199,0.59,0,0
"279","002100","경농",10730,-120,-1.11,890,12.06,NA,NA,11888,0.9,350,3.26
"280","009450","경동나비엔",37850,-550,-1.43,5898,6.42,NA,NA,31164,1.21,450,1.19
"281","267290","경동도시가스",23500,800,3.52,3756,6.26,NA,NA,63687,0.37,875,3.72
"282","012320","경동인베스트",111600,25700,29.92,6714,16.62,NA,NA,197979,0.56,750,0.67
"283","011040","경동제약",7770,-70,-0.89,460,16.89,NA,NA,9540,0.81,500,6.44
"284","000050","경방",11080,40,0.36,872,12.71,NA,NA,30033,0.37,125,1.13
"285","214390","경보제약",6960,-30,-0.43,NA,NA,NA,NA,6095,1.14,50,0.72
"286","012610","경인양행",4895,-235,-4.58,589,8.31,NA,NA,5553,0.88,50,1.02
"287","009140","경인전자",24100,-300,-1.23,2843,8.48,NA,NA,45795,0.53,250,1.04
"288","024910","경창산업",2270,-25,-1.09,119,19.08,NA,NA,2507,0.91,0,0
